publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11503";"BM-1";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"";"Adult";"18.00";"99.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18476";"Bone";"";"Femur";"";"";"";"20575";"-21.1";"8.7";"";"4.0";"42.0";"15.2";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11504";"BM-2";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"";"Adult";"18.00";"99.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18477";"Bone";"";"Femur";"";"";"";"20576";"-21.0";"9.0";"";"8.0";"42.9";"15.4";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11505";"BM-5";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"";"Adult";"18.00";"99.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18478";"Bone";"";"Femur";"";"";"";"20577";"-21.1";"9.0";"";"4.4";"41.7";"15.1";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11506";"BM-53";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"9";"Non-adult";"9.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18479";"Bone";"";"Femur";"";"";"";"20578";"-21.2";"9.2";"";"3.2";"44.1";"16.3";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11507";"BM-54";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"9";"Non-adult";"9.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18480";"Bone";"";"Femur";"";"";"";"20579";"-21.4";"8.4";"";"9.8";"44.0";"16.5";"3.1";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11508";"BM-55";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"7";"Non-adult";"7.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18481";"Bone";"";"Femur";"";"";"";"20580";"-21.2";"9.3";"";"3.6";"41.9";"15.4";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11509";"BM-56";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"4";"Non-adult";"4.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18482";"Bone";"";"Femur";"";"";"";"20581";"-21.0";"9.6";"";"11.3";"45.7";"16.8";"3.2";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11510";"BM-57";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"4";"Non-adult";"4.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18483";"Bone";"";"Femur";"";"";"";"20582";"-21.1";"8.7";"";"3.3";"41.5";"15.4";"3.1";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11511";"BM-58";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"4";"Non-adult";"4.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18484";"Bone";"";"Femur";"";"";"";"20583";"-21.3";"8.9";"";"2.7";"37.9";"14.2";"3.1";"";"";"";"";"";"";"";"";"";"";""
"Bocherens et al. 2007";"La Cave";"";"Syria";"Latakia Governorate";"Latakia";"50.2234900";"4.8096080";"160";"221";"11512";"BM-59";"Human";"-3630";"-1950";"";"";"";"";"";"";"";"2";"Non-adult";"2.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18485";"Bone";"";"Femur";"";"";"";"20584";"-20.9";"9.9";"";"6.5";"42.7";"15.8";"3.1";"";"";"";"";"";"";"";"";"";"";""